h3,value_mean,value_std,value_count,coverage_school,coverage_hospital,coverage_pharmacy,coverage_supermarket,coverage_bus_station,coverage_park,walkability_variance,accessibility_mean,population_weighted_accessibility
886015d9d9fffff,0.38132475430879204,0.12758512129550376,143,0.013986013986013986,0.02097902097902098,0.0,0.0,0.0,0.0,0.016277963175988404,0.055944055944055944,0.055944055944055944
886015d9dbfffff,0.39000598463300934,0.10003402866074011,221,0.00904977375565611,0.00904977375565611,0.00904977375565611,0.0,0.0,0.0,0.010006806890097775,0.04072398190045249,0.04072398190045249
886015d9ddfffff,0.3874296017384234,0.11960103419584206,42,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.01430440738071498,0.047619047619047616,0.047619047619047616
886015d9e1fffff,0.3794316337397775,0.050104358468298645,278,0.0,0.0035971223021582736,0.0,0.0,0.0,0.0,0.00251044673751977,0.007194244604316547,0.007194244604316547
886015d9e3fffff,0.37974067775980475,0.043100758983516445,390,0.0,0.002564102564102564,0.0,0.0,0.0,0.0,0.0018576754249551737,0.005128205128205128,0.005128205128205128
886015d9e5fffff,0.3808884709867536,0.009790120419140473,324,0.0,0.0,0.0,0.0,0.0,0.0,9.584645782127125e-05,0.0,0.0
886015d9e7fffff,0.378392665207891,0.03494235458476915,308,0.006493506493506494,0.0,0.0,0.0,0.0,0.0,0.0012209681439277378,0.006493506493506494,0.006493506493506494
886015d9e9fffff,0.3807620905738727,0.010667944747991936,352,0.0,0.0,0.0,0.0,0.0,0.0,0.00011380504514620872,0.0,0.0
886015d9ebfffff,0.38371935653257166,0.02302284734414712,323,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.000530051499831902,0.0030959752321981426,0.0030959752321981426
886015d9edfffff,0.3813838784227526,0.03106673586404226,444,0.0,0.0,0.0022522522522522522,0.0,0.0,0.0,0.0009651420772461696,0.0033783783783783786,0.0033783783783783786
